NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameandTeam
203585,Rodney McGruder,MIA,27.0,1.0,1.0,0.0,15.0,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,6.1,0.0,0.0,-2,0,0,0,0,0,0,0,0,7.75,Rodney McGruderMIA
1628464,Daniel Theis,BOS,26.0,1.0,0.0,1.0,13.0,2.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.6,0.0,0.0,-5,0,0,0,0,0,0,0,0,7.75,Daniel TheisBOS
202335,Patrick Patterson,OKC,29.0,1.0,0.0,1.0,12.0,3.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.5,Patrick PattersonOKC
101162,Marcin Gortat,LAC,34.0,1.0,0.0,1.0,17.0,6.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,6.2,0.0,0.0,-18,0,0,0,0,0,0,0,0,6.75,Marcin GortatLAC
203922,Glenn Robinson III,DET,25.0,1.0,0.0,1.0,9.0,6.0,1.0,3.0,33.3,0.0,2.0,0.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,6.0,Glenn Robinson IIIDET
1628399,Tyler Lydon,DEN,22.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,5.5,Tyler LydonDEN
203118,Mike Scott,LAC,30.0,1.0,0.0,1.0,9.0,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,-4,0,0,0,0,0,0,0,0,5.5,Mike ScottLAC
1627824,Guerschon Yabusele,BOS,23.0,1.0,0.0,1.0,3.0,5.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5.5,Guerschon YabuseleBOS
1628977,Hamidou Diallo,OKC,20.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.7,0.0,0.0,9.0,0,0,0,0,0,0,0,0,4.75,Hamidou DialloOKC
1627751,Jakob Poeltl,SAS,23.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.7,0.0,0.0,-2,0,0,0,0,0,0,0,0,4.75,Jakob PoeltlSAS
1626246,Boban Marjanovic,LAC,30.0,1.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,-3,0,0,0,0,0,0,0,0,3.75,Boban MarjanovicLAC
202954,Brad Wanamaker,BOS,29.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,Brad WanamakerBOS
1628400,Semi Ojeleye,BOS,24.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,-8,0,0,0,0,0,0,0,0,2.75,Semi OjeleyeBOS
203482,Kelly Olynyk,MIA,27.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.5,Kelly OlynykMIA
1629164,Brandon Goodwin,DEN,23.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1.5,Brandon GoodwinDEN
1628412,Frank Mason,SAC,24.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,-9,0,0,0,0,0,0,0,0,1.5,Frank MasonSAC
203463,Ben McLemore,SAC,25.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9,0,0,0,0,0,0,0,0,0.0,Ben McLemoreSAC
201967,Dante Cunningham,SAS,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Dante CunninghamSAS
1628414,Sindarius Thornwell,LAC,24.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0.0,Sindarius ThornwellLAC
