Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Pat Connaughton (11939431),Pat Connaughton,11939431,SG/SF/F/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,16.55
SG/SF,Tony Snell (11939436),Tony Snell,11939436,SG/SF/F/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,11.78
SF/PF,Luol Deng (11939168),Luol Deng,11939168,SF/PF/F/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,MIN,8.88
PG/SG,Jerryd Bayless (11939172),Jerryd Bayless,11939172,PG/SG/G/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,MIN,6.38
SG/SF,C.J. Williams (11939176),C.J. Williams,11939176,SG/SF/F/G/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,MIN,3.5
SF,Keita Bates-Diop (11939181),Keita Bates-Diop,11939181,SF/F/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,MIN,4.88
PG,Jared Terrell (11939184),Jared Terrell,11939184,PG/G/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,MIN,4.83
PF/C,Dirk Nowitzki (11939187),Dirk Nowitzki,11939187,PF/C/F/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,DAL,7.07
C,Salah Mejri (11939191),Salah Mejri,11939191,C/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,DAL,6.62
PG/SG,Daryl Macon (11939193),Daryl Macon,11939193,PG/SG/G/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,DAL,0
SF/PF,Kostas Antetokounmpo (11939197),Kostas Antetokounmpo,11939197,SF/PF/F/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,DAL,0
PF,Ray Spalding (11939201),Ray Spalding,11939201,PF/F/UTIL,3000,DAL@MIN 01/11/2019 08:00PM ET,DAL,0
PF/C,Frank Kaminsky (11939204),Frank Kaminsky,11939204,PF/C/F/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,CHA,11.70
SG/SF,Dwayne Bacon (11939208),Dwayne Bacon,11939208,SG/SF/F/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,CHA,9.18
SG,J.P. Macura (11939213),J.P. Macura,11939213,SG/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,CHA,9.5
PG,Joe Chealey (11939216),Joe Chealey,11939216,PG/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,CHA,0
SG,Gary Trent Jr. (11939219),Gary Trent Jr.,11939219,SG/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,POR,4.12
