Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Cristiano Felicio (11943920),Cristiano Felicio,11943920,C/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,CHI,7.64
PG/SG,Brandon Sampson (11943922),Brandon Sampson,11943922,PG/SG/G/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,CHI,0
SG/SF,Andre Roberson (11943926),Andre Roberson,11943926,SG/SF/F/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,0
PG/SG,Deonte Burton (11943931),Deonte Burton,11943931,PG/SG/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,6.07
SG/SF,Hamidou Diallo (11943935),Hamidou Diallo,11943935,SG/SF/F/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,9.49
SG/SF,Timothe Luwawu-Cabarrot (11943940),Timothe Luwawu-Cabarrot,11943940,SG/SF/F/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,4.01
PG/SG,Raymond Felton (11943945),Raymond Felton,11943945,PG/SG/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,10.28
SF/PF,Donte Grantham (11943949),Donte Grantham,11943949,SF/PF/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,OKC,0
PG/SG,Lonnie Walker IV (11943953),Lonnie Walker IV,11943953,PG/SG/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,4.75
SF,Quincy Pondexter (11943957),Quincy Pondexter,11943957,SF/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,5.37
SF/PF,Dante Cunningham (11943960),Dante Cunningham,11943960,SF/PF/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,12.22
PF/C,Drew Eubanks (11943964),Drew Eubanks,11943964,PF/C/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,4.33
PF/C,Chimezie Metu (11943968),Chimezie Metu,11943968,PF/C/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,5.67
PG,Dejounte Murray (11943972),Dejounte Murray,11943972,PG/G/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,0
PF,Ben Moore (11943975),Ben Moore,11943975,PF/F/UTIL,3000,SA@OKC 01/12/2019 08:00PM ET,SA,0
PF/C,Ryan Anderson (11943978),Ryan Anderson,11943978,PF/C/F/UTIL,3000,DEN@PHO 01/12/2019 09:00PM ET,PHO,9.55
