,model,lineupNum,team,player_name,concatNameTeam
151,A_pydfs_1.00_Exp,19,ORL,Nikola Vucevic,Nikola VucevicORL
152,A_pydfs_1.00_Exp,20,NOP,Jrue Holiday,Jrue HolidayNOP
153,A_pydfs_1.00_Exp,20,CHI,Zach LaVine,Zach LaVineCHI
154,A_pydfs_1.00_Exp,20,ORL,Aaron Gordon,Aaron GordonORL
155,A_pydfs_1.00_Exp,20,NOP,Nikola Mirotic,Nikola MiroticNOP
156,A_pydfs_1.00_Exp,20,CHI,Bobby Portis,Bobby PortisCHI
157,A_pydfs_1.00_Exp,20,DEN,Will Barton,Will BartonDEN
158,A_pydfs_1.00_Exp,20,OKC,Paul George,Paul GeorgeOKC
159,A_pydfs_1.00_Exp,20,OKC,Dennis Schroder,Dennis SchroderOKC
160,A_pydfs_1.00_Exp,21,NOP,Jrue Holiday,Jrue HolidayNOP
161,A_pydfs_1.00_Exp,21,CHI,Zach LaVine,Zach LaVineCHI
162,A_pydfs_1.00_Exp,21,DEN,Will Barton,Will BartonDEN
163,A_pydfs_1.00_Exp,21,NOP,Anthony Davis,Anthony DavisNOP
164,A_pydfs_1.00_Exp,21,NOP,Nikola Mirotic,Nikola MiroticNOP
165,A_pydfs_1.00_Exp,21,ORL,Evan Fournier,Evan FournierORL
166,A_pydfs_1.00_Exp,21,CHI,Bobby Portis,Bobby PortisCHI
167,A_pydfs_1.00_Exp,21,ORL,Terrence Ross,Terrence RossORL
168,A_pydfs_1.00_Exp,22,NOP,Jrue Holiday,Jrue HolidayNOP
169,A_pydfs_1.00_Exp,22,CHI,Zach LaVine,Zach LaVineCHI
170,A_pydfs_1.00_Exp,22,DEN,Will Barton,Will BartonDEN
171,A_pydfs_1.00_Exp,22,NOP,Anthony Davis,Anthony DavisNOP
172,A_pydfs_1.00_Exp,22,SAS,Pau Gasol,Pau GasolSAS
173,A_pydfs_1.00_Exp,22,SAC,Iman Shumpert,Iman ShumpertSAC
174,A_pydfs_1.00_Exp,22,NOP,Nikola Mirotic,Nikola MiroticNOP
175,A_pydfs_1.00_Exp,22,OKC,Steven Adams,Steven AdamsOKC
176,A_pydfs_1.00_Exp,23,NOP,Jrue Holiday,Jrue HolidayNOP
177,A_pydfs_1.00_Exp,23,CHI,Zach LaVine,Zach LaVineCHI
178,A_pydfs_1.00_Exp,23,DEN,Will Barton,Will BartonDEN
179,A_pydfs_1.00_Exp,23,NOP,Julius Randle,Julius RandleNOP
180,A_pydfs_1.00_Exp,23,ORL,Nikola Vucevic,Nikola VucevicORL
181,A_pydfs_1.00_Exp,23,OKC,Dennis Schroder,Dennis SchroderOKC
182,A_pydfs_1.00_Exp,23,NOP,Nikola Mirotic,Nikola MiroticNOP
183,A_pydfs_1.00_Exp,23,MIN,Taj Gibson,Taj GibsonMIN
184,A_pydfs_1.00_Exp,24,NOP,Jrue Holiday,Jrue HolidayNOP
