,Unnamed: 0,model,lineupNum,team,player_name,concatNameTeam,NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP
9,80,A_pydfs_1.00_Exp,11,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
820,81,A_pydfs_1.00_Exp,11,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
7333,95,A_pydfs_1.00_Exp,12,BOS,Terry Rozier,Terry RozierBOS,1626179,Terry Rozier,BOS,24,1,0,1,17,0,0,5,0.0,0,3,0.0,0,0,0.0,0,3,3,2,1,0,0,0,5.6,0,0,-20,0,0,0,0,0,0,0,0,6.25
3816,93,A_pydfs_1.00_Exp,12,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
821,89,A_pydfs_1.00_Exp,12,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
10,88,A_pydfs_1.00_Exp,12,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
2481,91,A_pydfs_1.00_Exp,12,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
1654,90,A_pydfs_1.00_Exp,12,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
4601,92,A_pydfs_1.00_Exp,12,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
3817,103,A_pydfs_1.00_Exp,13,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
2482,99,A_pydfs_1.00_Exp,13,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
822,101,A_pydfs_1.00_Exp,13,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
