NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
203486,Mason Plumlee,DEN,28,1,0,1,16,6,2,4,50,0,0,0,2,2,100,2,2,4,3,0,0,3,4,24.3,0,0,-20,0,0,0,0,0,0,0,0,21.5,Mason PlumleeDEN
203087,Jeremy Lamb,CHA,26,1,0,1,26,9,3,8,37.5,0,1,0,3,3,100,0,6,6,3,3,0,1,1,20.7,0,0,-1,0,0,0,0,0,0,0,0,21.5,Jeremy LambCHA
202704,Reggie Jackson,DET,28,1,1,0,40,10,4,18,22.2,2,6,33.3,0,1,0,1,2,3,4,3,1,0,0,19.6,0,0,9,1,0,0,0,0,1,0,0,21.25,Reggie JacksonDET
1627854,Bryn Forbes,SAS,25,1,0,1,28,14,6,16,37.5,1,7,14.3,1,1,100,1,3,4,0,1,1,0,0,20.8,0,0,-14,1,0,0,0,0,1,0,0,21,Bryn ForbesSAS
1629059,Elie Okobo,PHX,21,1,1,0,16,5,1,3,33.3,0,0,0,3,4,75,0,3,3,5,1,1,1,0,21.1,0,0,15,0,0,0,0,0,0,0,0,19.75,Elie OkoboPHX
203967,Dario Saric,MIN,24,1,1,0,16,14,4,7,57.1,2,3,66.7,4,4,100,1,3,4,0,1,0,0,4,17.8,0,0,-4,1,0,0,0,0,1,0,0,19.5,Dario SaricMIN
1628971,Bruce Brown,DET,22,1,1,0,27,2,0,7,0,0,1,0,2,2,100,2,4,6,1,0,3,1,4,22.7,0,0,3,0,0,0,0,0,0,0,0,19,Bruce BrownDET
203109,Jae Crowder,UTA,28,1,1,0,25,6,1,13,7.7,1,7,14.3,3,4,75,2,1,3,1,2,2,2,3,21.1,0,0,-4,0,0,0,0,0,0,0,0,18.75,Jae CrowderUTA
1627820,Tyrone Wallace,LAC,24,1,0,1,14,10,4,5,80,0,0,0,2,6,33.3,0,2,2,3,1,1,0,0,18.9,0,0,16,1,0,0,0,0,1,0,0,18.5,Tyrone WallaceLAC
1627759,Jaylen Brown,BOS,22,1,0,1,24,13,5,9,55.6,2,3,66.7,1,2,50,2,2,4,0,2,0,0,4,15.8,0,0,-18,1,0,0,0,0,1,0,0,18,Jaylen BrownBOS
201952,Jeff Teague,MIN,30,1,1,0,22,2,1,5,20,0,3,0,0,0,0,0,1,1,10,1,0,0,1,17.2,0,0,-1,0,0,1,0,0,1,0,0,17.75,Jeff TeagueMIN
203482,Kelly Olynyk,MIA,27,1,1,0,25,13,5,7,71.4,2,4,50,1,1,100,2,2,4,0,3,0,0,4,14.8,0,0,-4,1,0,0,0,0,1,0,0,17.5,Kelly OlynykMIA
1628390,Terrance Ferguson,OKC,20,1,1,0,30,8,3,5,60,2,3,66.7,0,0,0,1,3,4,1,0,0,1,1,17.3,0,0,8,0,0,0,0,0,0,0,0,17.5,Terrance FergusonOKC
1628984,Devonte' Graham,CHA,23,1,0,1,23,8,3,7,42.9,2,5,40,0,0,0,1,2,3,3,0,0,0,0,16.1,0,0,-8,0,0,0,0,0,0,0,0,17.25,Devonte' GrahamCHA
204020,Tyler Johnson,MIA,26,1,1,0,28,14,5,9,55.6,4,8,50,0,0,0,0,1,1,1,3,0,0,3,13.7,0,0,-8,1,0,0,0,0,1,0,0,17.25,Tyler JohnsonMIA
202714,Shelvin Mack,MEM,28,1,0,1,29,13,5,13,38.5,1,4,25,2,3,66.7,0,1,1,2,2,0,0,0,15.2,0,0,0,1,0,0,0,0,1,0,0,16.75,Shelvin MackMEM
203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20,1,3,33.3,1,2,50,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75,Will BartonDEN
1628371,Jonathan Isaac,ORL,21,1,1,0,25,7,2,7,28.6,1,4,25,2,2,100,2,4,6,1,0,0,0,1,15.7,0,0,-16,0,0,0,0,0,0,0,0,16.5,Jonathan IsaacORL
203935,Marcus Smart,BOS,24,1,0,1,33,10,4,7,57.1,2,4,50,0,0,0,0,3,3,1,0,0,0,1,15.1,0,0,11,1,0,0,0,0,1,0,0,16.25,Marcus SmartBOS
1628969,Mikal Bridges,PHX,22,1,1,0,24,5,2,4,50,1,1,100,0,0,0,0,3,3,2,0,1,1,2,17.6,0,0,7,0,0,0,0,0,0,0,0,16.25,Mikal BridgesPHX
1627782,Wayne Selden,CHI,24,1,0,1,26,11,5,7,71.4,1,2,50,0,0,0,1,1,2,2,2,0,0,0,14.4,0,0,6,1,0,0,0,0,1,0,0,16,Wayne SeldenCHI
1628983,Shai Gilgeous-Alexander,LAC,20,1,0,1,17,7,3,7,42.9,0,1,0,1,1,100,0,1,1,4,2,1,0,2,15.2,0,0,3,0,0,0,0,0,0,0,0,15.25,Shai Gilgeous-AlexanderLAC
202330,Gordon Hayward,BOS,28,1,0,1,25,8,3,9,33.3,0,3,0,2,5,40,1,1,2,3,0,0,0,1,14.9,0,0,-11,0,0,0,0,0,0,0,0,15,Gordon HaywardBOS
201949,James Johnson,MIA,31,1,1,0,14,7,3,5,60,0,1,0,1,2,50,0,1,1,3,0,0,1,4,15.7,0,0,-5,0,0,0,0,0,0,0,0,14.75,James JohnsonMIA
1628385,Harry Giles III,SAC,20,1,1,0,17,4,2,3,66.7,0,0,0,0,0,0,0,5,5,3,0,0,0,2,14.5,0,0,9,0,0,0,0,0,0,0,0,14.75,Harry Giles IIISAC
201577,Robin Lopez,CHI,30,1,0,1,13,4,2,4,50,0,0,0,0,0,0,3,1,4,2,0,0,1,1,14.8,0,0,8,0,0,0,0,0,0,0,0,14,Robin LopezCHI
202697,Iman Shumpert,SAC,28,1,1,0,21,5,2,9,22.2,1,3,33.3,0,0,0,2,1,3,2,1,0,1,4,13.6,0,0,-3,0,0,0,0,0,0,0,0,13.75,Iman ShumpertSAC
1628470,Torrey Craig,DEN,28,1,0,1,24,2,1,3,33.3,0,2,0,0,0,0,1,4,5,2,3,1,1,5,14,0,0,-3,0,0,0,0,0,0,0,0,13.75,Torrey CraigDEN
202357,Nemanja Bjelica,SAC,30,1,1,0,17,3,1,2,50,1,2,50,0,0,0,0,0,0,4,0,2,0,2,15,0,0,1,0,0,0,0,0,0,0,0,13.5,Nemanja BjelicaSAC
201149,Joakim Noah,MEM,33,1,0,1,14,4,2,3,66.7,0,0,0,0,2,0,2,3,5,1,1,0,1,3,13.5,0,0,13,0,0,0,0,0,0,0,0,13.25,Joakim NoahMEM
201959,Taj Gibson,MIN,33,1,1,0,27,10,5,7,71.4,0,1,0,0,0,0,2,0,2,1,2,0,0,2,11.9,0,0,-4,1,0,0,0,0,1,0,0,13,Taj GibsonMIN
