Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Thaddeus Young (11923620),Thaddeus Young,11923620,SF/PF/F/UTIL,5900,IND@CLE 01/08/2019 07:00PM ET,IND,25.84
C,Tristan Thompson (11923624),Tristan Thompson,11923624,C/UTIL,5900,IND@CLE 01/08/2019 07:00PM ET,CLE,31.62
PG,Trae Young (11923630),Trae Young,11923630,PG/G/UTIL,5900,ATL@TOR 01/08/2019 07:30PM ET,ATL,31.41
SG/SF,Bogdan Bogdanovic (11923615),Bogdan Bogdanovic,11923615,SG/SF/F/G/UTIL,5900,SAC@PHO 01/08/2019 09:00PM ET,SAC,28.23
SF/PF,Trevor Ariza (11923626),Trevor Ariza,11923626,SF/PF/F/UTIL,5900,WAS@PHI 01/08/2019 07:00PM ET,WAS,27.42
PF/C,Larry Nance Jr. (11923637),Larry Nance Jr.,11923637,PF/C/F/UTIL,5800,IND@CLE 01/08/2019 07:00PM ET,CLE,27.61
PG,Emmanuel Mudiay (11923641),Emmanuel Mudiay,11923641,PG/G/UTIL,5800,NY@GS 01/08/2019 10:30PM ET,NY,25.98
PF/C,Paul Millsap (11923633),Paul Millsap,11923633,PF/C/F/UTIL,5800,DEN@MIA 01/08/2019 07:30PM ET,DEN,29.49
SG/SF,Bojan Bogdanovic (11923644),Bojan Bogdanovic,11923644,SG/SF/F/G/UTIL,5700,IND@CLE 01/08/2019 07:00PM ET,IND,25.89
SF/PF,Kevin Knox (11923649),Kevin Knox,11923649,SF/PF/F/UTIL,5700,NY@GS 01/08/2019 10:30PM ET,NY,20.99
SF/PF,Otto Porter Jr. (11923653),Otto Porter Jr.,11923653,SF/PF/F/UTIL,5600,WAS@PHI 01/08/2019 07:00PM ET,WAS,26.52
C,Enes Kanter (11923657),Enes Kanter,11923657,C/UTIL,5500,NY@GS 01/08/2019 10:30PM ET,NY,32.62
PG,Goran Dragic (11923659),Goran Dragic,11923659,PG/G/UTIL,5500,DEN@MIA 01/08/2019 07:30PM ET,MIA,28.05
SG/SF,Kent Bazemore (11923669),Kent Bazemore,11923669,SG/SF/F/G/UTIL,5500,ATL@TOR 01/08/2019 07:30PM ET,ATL,27.89
C,Dwight Howard (11923662),Dwight Howard,11923662,C/UTIL,5500,WAS@PHI 01/08/2019 07:00PM ET,WAS,27.03
SG/SF,JJ Redick (11923664),JJ Redick,11923664,SG/SF/F/G/UTIL,5500,WAS@PHI 01/08/2019 07:00PM ET,PHI,27.27
SG,Gary Harris (11923674),Gary Harris,11923674,SG/G/UTIL,5400,DEN@MIA 01/08/2019 07:30PM ET,DEN,27.57
PG/SG,Tomas Satoransky (11923677),Tomas Satoransky,11923677,PG/SG/G/UTIL,5400,WAS@PHI 01/08/2019 07:00PM ET,WAS,16.46
SF/PF,Marvin Williams (11923685),Marvin Williams,11923685,SF/PF/F/UTIL,5300,CHA@LAC 01/08/2019 10:30PM ET,CHA,22.76
SF/PF,Nemanja Bjelica (11923681),Nemanja Bjelica,11923681,SF/PF/F/UTIL,5300,SAC@PHO 01/08/2019 09:00PM ET,SAC,25.65
PF/C,Dewayne Dedmon (11923689),Dewayne Dedmon,11923689,PF/C/F/UTIL,5200,ATL@TOR 01/08/2019 07:30PM ET,ATL,24.98
PG,Darren Collison (11923697),Darren Collison,11923697,PG/G/UTIL,5100,IND@CLE 01/08/2019 07:00PM ET,IND,23.91
PG/SG,Dennis Schroder (11923700),Dennis Schroder,11923700,PG/SG/G/UTIL,5100,MIN@OKC 01/08/2019 08:00PM ET,OKC,28.40
SF/PF,Jeff Green (11923693),Jeff Green,11923693,SF/PF/F/UTIL,5100,WAS@PHI 01/08/2019 07:00PM ET,WAS,22.32
PG/SG,Jordan Clarkson (11923720),Jordan Clarkson,11923720,PG/SG/G/UTIL,5000,IND@CLE 01/08/2019 07:00PM ET,CLE,26.33
PG/SG,Dwyane Wade (11923704),Dwyane Wade,11923704,PG/SG/G/UTIL,5000,DEN@MIA 01/08/2019 07:30PM ET,MIA,26.34
SG/SF,Will Barton (11923712),Will Barton,11923712,SG/SF/F/G/UTIL,5000,DEN@MIA 01/08/2019 07:30PM ET,DEN,30.75
SF,Taurean Prince (11923717),Taurean Prince,11923717,SF/F/UTIL,5000,ATL@TOR 01/08/2019 07:30PM ET,ATL,26.30
PG/SG,Fred VanVleet (11923724),Fred VanVleet,11923724,PG/SG/G/UTIL,5000,ATL@TOR 01/08/2019 07:30PM ET,TOR,23.01
PF/C,Marvin Bagley III (11923708),Marvin Bagley III,11923708,PF/C/F/UTIL,5000,SAC@PHO 01/08/2019 09:00PM ET,SAC,24.22
SF/PF,Josh Jackson (11923728),Josh Jackson,11923728,SF/PF/F/UTIL,4900,SAC@PHO 01/08/2019 09:00PM ET,PHO,19.56
PF/C,Bam Adebayo (11923735),Bam Adebayo,11923735,PF/C/F/UTIL,4800,DEN@MIA 01/08/2019 07:30PM ET,MIA,22.15
PF,Jerami Grant (11923732),Jerami Grant,11923732,PF/F/UTIL,4800,MIN@OKC 01/08/2019 08:00PM ET,OKC,24.04
PG/SG,Alec Burks (11923744),Alec Burks,11923744,PG/SG/G/UTIL,4700,IND@CLE 01/08/2019 07:00PM ET,CLE,19.21
SG/SF,Nicolas Batum (11923748),Nicolas Batum,11923748,SG/SF/F/G/UTIL,4700,CHA@LAC 01/08/2019 10:30PM ET,CHA,22.92
SG/SF,Kevin Huerter (11923739),Kevin Huerter,11923739,SG/SF/F/G/UTIL,4700,ATL@TOR 01/08/2019 07:30PM ET,ATL,17.97
C,Marcin Gortat (11923753),Marcin Gortat,11923753,C/UTIL,4600,CHA@LAC 01/08/2019 10:30PM ET,LAC,16.27
